NAME                           ,TYPE    ,HINT                                                         ,UNITS               ,FORMAT ,MIN SW                                                      ,MAX SW                          ,MIN DB ,MAX DB ,SW DEFAULT                ,SW DEFAULT REAL ,GAIN   ,INCREMENT ,INDEX ,Backup (y/n) ,Restore (y/n) ,Range (y/n) ,Array Value Ref    ,Array Value ,ENUM VAL ,ENUM                          ,VisRenter ,VisDealer1 ,VisDealer2 ,VisDealer3 ,VisDealer4 ,VisDealer5 ,VisCusINSP ,VisCusTech ,VisCusEng ,VisSSTech ,VisSSEng ,EdRenter ,EdDealer1 ,EdDealer2 ,EdDealer3 ,EdDealer4 ,EdDealer5 ,EdCusINSP ,EdCusTech ,EdCusEng ,EdSSTech ,EdSSEng ,TEXT                          ,ARGUMENTS
NAME                           ,TYPE    ,HINT                                                         ,UNITS               ,FORMAT ,MIN SW                                                      ,MAX SW                          ,MIN DB ,MAX DB ,SW DEFAULT                ,SW DEFAULT REAL ,GAIN   ,INCREMENT ,INDEX ,Backup (y/n) ,Restore (y/n) ,Range (y/n) ,Array Value Ref    ,Array Value ,ENUM VAL ,ENUM                          ,VisRenter ,VisDealer1 ,VisDealer2 ,VisDealer3 ,VisDealer4 ,VisDealer5 ,VisCusINSP ,VisCusTech ,VisCusEng ,VisSSTech ,VisSSEng ,EdRenter ,EdDealer1 ,EdDealer2 ,EdDealer3 ,EdDealer4 ,EdDealer5 ,EdCusINSP ,EdCusTech ,EdCusEng ,EdSSTech ,EdSSEng ,TEXT                          ,
Database Information           ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,                              ,

CONFIG_eACTUATORS              ,enum    ,Enumeration Actuators                                        ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
-CONFIG_ACTUATOR_JACKPLATE0    ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,0        ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
-CONFIG_ACTUATOR_JACKPLATE1    ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
-CONFIG_ACTUATOR_TRIM0         ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
-CONFIG_ACTUATOR_TRIM1         ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
-CONFIG_ACTUATOR_ANCHOR        ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
-CONFIG_ACTUATOR_COUNT         ,        ,                                                             ,                    ,       ,                                                            ,                                ,       ,       ,                          ,                ,       ,          ,      ,             ,              ,            ,                   ,            ,         ,                              ,          ,           ,           ,           ,           ,           ,           ,           ,          ,          ,         ,         ,          ,          ,          ,          ,          ,          ,          ,         ,         ,        ,
